"S_ID","SAF_SELFCON","SQA06A","SQA06B","SQA06C","SQA06D","SQA06E","SQA06F","SBF_SELFCON","SQB01A","SQB01B","SQB01C","SQB01D","SQB01E","SQB01F","SAF_PINT","SQA14A","SQA14B","SQA14C","SBF_PINT","SQB03A","SQB03B","SQB03C","SAF_GENSELFEFF","SQA15A","SQA15B","SQA15C","SQA15D","SQA15E","SBF_GENSELFEFF","SQB02A","SQB02B","SQB02C","SQB02D","SQB02E","SAF_EFFICACY_MATCHED","SQA16F2","SQA16G2","SQA16H2","SQA16I2","SQA16J2","SBF_EFFICACY_MATCHED","SQB07CA","SQB07CB","SQB07CC","SQB07CD","SQB07CE"
"00152-0001-0001-0001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00152-0001-0001-0002",1.39156185110939,4,3,4,4,4,4,0.811426966283692,3,3,3,4,3,3,0.688657674540425,3,4,3,0.407754629074501,3,3,3,0.341857988781911,3,4,3,2,3,0.580775960898881,3,3,3,3,3,0.687053604439021,3,3,4,3,4,-0.290596721307951,2,2,3,3,2
"00152-0001-0001-0003",NA,NA,NA,NA,NA,NA,NA,-2.08172567444038,1,1,1,1,1,1,-0.439421217306059,2,3,2,0.141034122678427,3,3,2,-1.91741951870438,1,1,1,1,1,-1.69756034126817,1,1,1,1,1,-0.380625596367436,2,2,2,2,2,-0.584113724471133,2,2,2,2,2
"00152-0001-0001-0004",-0.3749040896099,3,3,2,2,3,2,-0.738198857530861,2,2,2,2,2,2,0.199253504854407,3,3,3,-0.156778579949398,3,2,3,-0.754875266066217,2,2,2,2,2,-0.496325101745625,2,2,2,2,2,-0.380625596367436,2,2,2,2,2,-0.584113724471133,2,2,2,2,2
"00152-0001-0001-0006",-0.137949842186792,3,3,2,3,3,2,-0.738198857530861,2,2,2,2,2,2,0.199253504854407,3,3,3,-0.624960511436945,2,2,2,-0.754875266066217,2,2,2,2,2,0.580775960898881,3,3,3,3,3,-0.380625596367436,2,2,2,2,2,0.205761128204731,3,3,3,3,3
"00152-0001-0001-0007",-0.972266536594156,2,1,2,2,2,2,-0.738198857530861,2,2,2,2,2,2,-0.0774978699633682,3,3,2,-0.201955540710782,2,3,2,-0.754875266066217,2,2,2,2,2,-1.41106854101579,1,1,1,2,1,-0.380625596367436,2,2,2,2,2,-0.584113724471133,2,2,2,2,2
"00152-0001-0001-0008",1.6159765663441,4,4,4,4,4,4,1.88016172456212,4,4,4,4,4,4,1.33147011590942,4,4,4,1.55676885328632,4,4,4,1.511153808915,4,4,4,4,4,1.80815764288501,4,4,4,4,4,0.966021817619201,4,4,4,4,3,1.18631450956407,4,4,NA,4,4
"00152-0001-0001-0009",-0.0154283877519232,3,2,3,3,2,3,-0.738198857530861,2,2,2,2,2,2,-0.0774978699633682,3,3,2,-0.0014335159512155,2,3,3,0.272416208867303,3,3,3,3,3,-0.525747058512636,2,1,2,3,2,-0.380625596367436,2,2,2,2,2,-0.478460001401862,3,2,2,2,2
"00152-0001-0001-0011",-0.825118449181821,2,2,2,2,2,2,-0.738198857530861,2,2,2,2,2,2,NA,NA,NA,NA,-0.624960511436945,2,2,2,-0.754875266066217,2,2,2,2,2,-1.18621080222811,2,1,1,2,1,-0.351454030951271,NA,2,2,2,2,NA,NA,NA,NA,NA,NA
"00152-0001-0001-0012",-0.31545019349791,3,2,2,2,3,3,-0.738198857530861,2,2,2,2,2,2,-0.0774978699633682,3,3,2,-0.624960511436945,2,2,2,0.0737042900884769,2,3,3,3,3,-0.90258188155168,2,2,2,1,1,-0.290357607752079,3,2,2,2,2,NA,NA,NA,NA,NA,NA
"00152-0001-0001-0013",-0.31545019349791,3,2,2,2,3,3,-0.215063370670217,2,2,3,3,2,2,-0.652423847353105,2,3,1,-1.6026139971396,1,1,1,-0.477079887003982,1,3,3,2,2,-0.633033471076412,1,1,3,3,1,-0.777434266691904,NA,1,1,2,2,-0.584113724471133,2,2,2,2,2
"00152-0001-0001-0014",-2.05210487379039,1,1,1,1,1,1,-2.08172567444038,1,1,1,1,1,1,-0.848178210081668,2,2,2,-1.6026139971396,1,1,1,-1.21092011026993,1,2,1,2,2,-1.69756034126817,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00152-0001-0001-0015",0.0888179034574471,3,3,3,3,3,2,-0.224570776021311,1,1,2,NA,4,4,-0.848178210081668,2,2,2,-0.834303577306735,2,2,1,-0.754875266066217,2,2,2,2,2,-0.100798418984435,2,3,2,3,2,0.317080326613267,3,3,3,3,3,-0.568801598790142,NA,2,2,2,2
"00152-0001-0001-0016",-1.16436490158367,2,2,1,1,3,2,-0.551564620656734,2,2,2,2,3,2,-0.0774978699633682,3,3,2,-0.834303577306735,2,2,1,-0.550313759412937,3,2,2,2,2,0.381805687058413,2,3,3,3,3,-0.380625596367436,2,2,2,2,2,-0.584113724471133,2,2,2,2,2
"00152-0001-0001-0017",NA,NA,NA,NA,NA,NA,NA,-0.551564620656734,2,2,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0930951612114424,2,2,2,3,3,NA,NA,NA,NA,NA,NA,-0.584113724471133,2,2,2,2,2
"00152-0001-0001-0018",0.747848929613303,3,3,4,3,4,3,-0.386528622966912,2,3,2,2,2,3,-0.0774978699633682,3,3,2,-0.624960511436945,2,2,2,-0.335921887561698,2,2,3,3,2,-1.08749906606322,1,2,2,1,1,-0.114469932934521,2,3,2,3,2,-0.533144912053288,2,3,2,2,1
"00152-0001-0001-0020",-1.53539426200692,1,1,1,2,2,1,-0.738198857530861,2,2,2,2,2,2,-0.328863099905878,3,2,3,NA,NA,NA,NA,-0.531628763802979,1,2,3,3,2,-1.69756034126817,1,1,1,1,1,-0.23319063340772,3,NA,1,3,3,NA,NA,NA,NA,NA,NA
"00152-0001-0001-0021",-0.825118449181821,2,2,2,2,2,2,-0.738198857530861,2,2,2,2,2,2,-0.439421217306059,2,3,2,0.141034122678427,3,3,2,-0.754875266066217,2,2,2,2,2,-0.496325101745625,2,2,2,2,2,0.317080326613267,3,3,3,3,3,-0.584113724471133,2,2,2,2,2
"00152-0001-0001-0022",0.502573429703586,3,3,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,0.199253504854407,3,3,3,NA,NA,NA,NA,0.272416208867303,3,3,3,3,3,NA,NA,NA,NA,NA,NA,0.677615929756128,2,4,3,4,4,NA,NA,NA,NA,NA,NA
"00152-0001-0001-0023",NA,NA,NA,NA,NA,NA,NA,-0.0363348552440594,3,2,3,3,2,2,NA,NA,NA,NA,0.407754629074501,3,3,3,NA,NA,NA,NA,NA,NA,0.890375096929494,2,3,4,4,3,NA,NA,NA,NA,NA,NA,0.205761128204731,3,3,3,3,3
"00152-0001-0001-0024",NA,NA,NA,NA,NA,NA,NA,-0.133632726810087,3,3,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47544945685103,4,4,4,4,3,NA,NA,NA,NA,NA,NA,-0.547435278869046,2,2,2,2,NA
"00152-0001-0001-0025",-1.04689431579813,2,3,1,1,3,2,-0.28293517189363,2,2,3,2,2,3,-0.848178210081668,2,2,2,-0.201955540710782,2,3,2,-1.09229825339023,2,1,1,3,2,-1.1696524912872,1,1,1,2,2,-0.270629004564906,4,2,1,2,3,-0.315189962091843,3,2,2,2,3
"00152-0001-0001-0026",0.0547510283269465,3,3,2,3,3,3,-0.219358126743737,2,3,2,2,3,3,-0.0774978699633682,3,3,2,-0.624960511436945,2,2,2,0.272416208867303,3,3,3,3,3,-0.496325101745625,2,2,2,2,2,-0.114469932934521,2,3,2,3,2,-0.276442534013274,3,2,3,2,2
"00152-0001-0001-0027",-1.21978206882416,1,3,2,2,1,1,-2.08172567444038,1,1,1,1,1,1,-1.8348982053446,1,1,1,-1.6026139971396,1,1,1,-1.6706841864827,1,1,1,2,1,1.49535288217085,4,4,4,3,4,NA,NA,NA,NA,NA,NA,-0.403441556688098,NA,NA,NA,NA,2
"00152-0001-0001-0028",0.920393722962049,NA,NA,4,NA,NA,NA,0.495913076204877,3,3,3,3,3,3,0.837509527836329,4,NA,NA,0.407754629074501,3,3,3,0.268474132716055,NA,3,NA,NA,NA,0.580775960898881,3,3,3,3,3,0.317080326613267,3,3,3,3,3,-0.478460001401862,3,2,2,2,2
"00152-0001-0001-0029",-1.21978206882416,1,3,2,2,1,1,-0.246024419706298,3,2,2,3,2,2,-1.8348982053446,1,1,1,-0.201955540710782,2,3,2,-1.6706841864827,1,1,1,2,1,-1.69756034126817,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-0.754591043352579,2,2,2,2,1
"00152-0001-0001-0030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00152-0001-0001-0031",-0.921458280752022,3,3,1,1,3,2,-1.37801113779054,2,1,1,1,2,2,-0.439421217306059,2,3,2,-0.425172515422909,2,2,3,-0.972980874390056,2,1,2,2,2,-1.18621080222811,2,1,1,2,1,0.472839739687793,3,3,3,3,4,-0.584113724471133,2,2,2,2,2
"00152-0002-0002-0001",NA,NA,NA,NA,NA,NA,NA,0.220952591902943,3,3,2,3,3,3,NA,NA,NA,NA,0.625044373816631,2,4,3,NA,NA,NA,NA,NA,NA,-0.308227121587011,2,2,2,3,2,NA,NA,NA,NA,NA,NA,0.205761128204731,3,3,3,3,3
"00152-0002-0002-0002",-0.181494342991891,3,3,2,2,3,3,0.495913076204877,3,3,3,3,3,3,0.199253504854407,3,3,3,-0.351134532694353,3,2,2,0.272416208867303,3,3,3,3,3,0.107214196647547,2,3,2,3,3,0.170324398743615,3,3,3,3,2,-0.497621129103245,2,NA,2,2,NA
"00152-0002-0002-0003",NA,NA,NA,NA,NA,NA,NA,0.0685255960556653,3,2,3,2,3,3,NA,NA,NA,NA,0.141034122678427,3,3,2,NA,NA,NA,NA,NA,NA,-0.496325101745625,2,2,2,2,2,NA,NA,NA,NA,NA,NA,-0.144838388881756,3,3,3,3,1
"00152-0002-0002-0004",-1.09622900570237,2,2,2,1,2,2,-0.0363348552440594,3,2,3,3,2,2,0.564280481719156,4,3,3,-0.834303577306735,2,2,1,0.345278577493495,3,3,2,4,4,-0.6998043277913,1,2,2,2,2,0.41377365075603,4,2,3,3,4,-0.531429246823177,3,3,2,1,1
"00152-0002-0002-0005",-1.54909564734096,2,1,1,2,1,1,-1.37801113779054,2,1,1,1,2,2,0.455278770930951,3,3,4,-0.396156698816674,2,3,1,-1.22104507025034,2,2,1,2,1,-0.409135319026994,1,2,3,2,2,-1.31630817300646,1,1,1,1,1,-1.13942462354175,1,1,1,2,2
"00152-0002-0002-0007",-0.321164120244519,2,2,3,3,1,3,0.495913076204877,3,3,3,3,3,3,1.33147011590942,4,4,4,0.141034122678427,3,3,2,0.272416208867303,3,3,3,3,3,-0.496325101745625,2,2,2,2,2,-0.231104802052446,2,2,2,2,3,0.205761128204731,3,3,3,3,3
"00152-0002-0002-0008",-1.0350553828014,3,3,2,1,2,1,0.495913076204877,3,3,3,3,3,3,-0.848178210081668,2,2,2,0.407754629074501,3,3,3,-0.754875266066217,2,2,2,2,2,-1.69756034126817,1,1,1,1,1,-0.380625596367436,2,2,2,2,2,-0.584113724471133,2,2,2,2,2
"00152-0002-0002-0009",-0.470638118675162,3,2,2,2,2,3,0.705873455985635,3,3,3,3,4,3,-1.08442010223144,2,2,1,-0.892351328229997,1,2,2,-0.191614941969045,2,3,2,3,3,0.509916422983091,2,3,4,2,3,0.624661712641598,4,3,4,3,3,0.0609712242686099,2,3,2,3,4
"00152-0002-0002-0010",1.14667098885756,4,3,4,4,4,3,-0.738198857530861,2,2,2,2,2,2,1.33147011590942,4,4,4,-1.06794578685023,2,1,2,1.19619612677533,3,4,4,4,4,-1.18621080222811,2,1,1,2,1,0.00335137367575678,4,2,3,2,2,0.0315904007503836,3,3,3,3,2
"00152-0002-0002-0011",-0.518760907326286,2,3,2,2,3,2,-0.738198857530861,2,2,2,2,2,2,-0.848178210081668,2,2,2,-0.624960511436945,2,2,2,-0.535371182715053,2,3,2,2,2,-0.496325101745625,2,2,2,2,2,-0.380625596367436,2,2,2,2,2,0.205761128204731,3,3,3,3,3
"00152-0002-0002-0012",0.497190808040833,4,3,3,3,3,3,-0.738198857530861,2,2,2,2,2,2,1.01459026274053,4,4,3,-1.6026139971396,1,1,1,0.732210466752475,3,3,4,4,3,-0.982852652850423,2,2,1,2,1,0.522611279692353,3,3,4,3,3,-0.69564328593288,1,2,2,2,2
"00152-0002-0002-0013",-0.510676040747211,3,2,2,2,3,2,-2.08172567444038,1,1,1,1,1,1,-0.0774978699633682,3,3,2,-1.6026139971396,1,1,1,-0.535371182715053,2,3,2,2,2,-1.69756034126817,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-1.52759909668946,1,1,1,1,1
"00152-0002-0002-0014",-0.825118449181821,2,2,2,2,2,2,-2.08172567444038,1,1,1,1,1,1,-0.848178210081668,2,2,2,-1.6026139971396,1,1,1,-0.754875266066217,2,2,2,2,2,-0.913261357458181,1,2,2,2,1,-0.380625596367436,2,2,2,2,2,-1.52759909668946,1,1,1,1,1
"00152-0002-0002-0015",0.153234153355436,2,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,-0.0774978699633682,3,3,2,NA,NA,NA,NA,-0.424547639242995,2,2,2,4,2,NA,NA,NA,NA,NA,NA,-1.04751730564561,1,1,1,1,2,NA,NA,NA,NA,NA,NA
"00152-0002-0002-0016",1.6159765663441,4,4,4,4,4,4,0.462632731850598,3,2,3,4,2,3,1.33147011590942,4,4,4,-0.0014335159512155,2,3,3,1.511153808915,4,4,4,4,4,0.580775960898881,3,3,3,3,3,0.774440554880512,2,4,4,3,4,1.03803609326667,4,4,4,3,4
"00152-0002-0002-0017",0.717498664269852,3,3,3,3,4,4,-1.61600920447595,1,2,1,1,1,2,1.01459026274053,4,4,3,0.678706700455138,3,3,4,1.511153808915,4,4,4,4,4,1.26301478664779,4,4,4,3,3,0.687053604439021,3,3,4,3,4,0.612106313325792,3,3,4,3,4
"00152-0002-0002-0018",1.6159765663441,4,4,4,4,4,4,-0.133632726810087,3,3,3,2,2,2,1.33147011590942,4,4,4,-0.624960511436945,2,2,2,1.511153808915,4,4,4,4,4,0.580775960898881,3,3,3,3,3,1.23649259180142,4,4,4,4,4,0.864335483151499,4,3,4,4,4
"00152-0002-0002-0019",0.316895221729886,3,3,3,3,3,3,-0.967166648962271,3,2,2,1,1,2,1.01459026274053,4,4,3,0.971926532002412,3,4,3,0.272416208867303,3,3,3,3,3,-0.077602565945964,2,3,2,2,3,-0.290357607752079,3,2,2,2,2,0.205761128204731,3,3,3,3,3
"00152-0002-0002-0020",0.670151298554422,4,3,3,3,4,3,-0.0363348552440594,3,2,3,3,2,2,-0.0774978699633682,3,3,2,-0.351134532694353,3,2,2,1.511153808915,4,4,4,4,4,-0.0386812018499427,2,2,3,3,2,-0.247564339086439,1,2,3,1,3,-0.205513239270055,2,3,2,2,3
"00152-0002-0002-0021",0.717498664269852,3,3,3,3,4,4,-0.127838796167096,2,2,3,2,3,3,0.564280481719156,4,3,3,0.971926532002412,3,4,3,0.669944482065575,3,3,3,4,4,0.580775960898881,3,3,3,3,3,0.317080326613267,3,3,3,3,3,-0.166205839634856,2,3,3,2,2
"00152-0002-0002-0022",-0.20724112571275,2,3,3,3,2,2,-0.738198857530861,2,2,2,2,2,2,0.199253504854407,3,3,3,0.407754629074501,3,3,3,-0.0122862680232673,3,3,2,3,3,-0.0930951612114424,2,2,2,3,3,0.212225907237942,3,3,3,2,3,0.111289730417658,3,3,3,2,3
"00152-0002-0002-0024",0.612869440948148,3,3,3,4,3,3,-0.219358126743737,2,3,2,2,3,3,1.33147011590942,4,4,4,0.141034122678427,3,3,2,1.19619612677533,3,4,4,4,4,0.580775960898881,3,3,3,3,3,0.317080326613267,3,3,3,3,3,0.205761128204731,3,3,3,3,3
"00152-0002-0002-0026",-1.4563571864542,1,2,1,1,2,2,-0.738198857530861,2,2,2,2,2,2,-1.08442010223144,2,2,1,-0.201955540710782,2,3,2,-1.91741951870438,1,1,1,1,1,-0.72534975067923,2,2,2,2,1,0.0145292865798884,3,3,3,3,1,-0.584113724471133,2,2,2,2,2
"00152-0002-0002-0027",-0.980126091198152,1,2,2,2,2,NA,-0.738198857530861,2,2,2,2,2,2,1.01459026274053,4,4,3,-0.351134532694353,3,2,2,-0.952822075170694,1,2,2,2,2,-1.18621080222811,2,1,1,2,1,0.0725247290342744,2,2,3,3,3,-0.166205839634856,2,3,3,2,2
"00152-0002-0002-0028",NA,NA,NA,NA,NA,NA,NA,0.0685255960556653,3,2,3,2,3,3,NA,NA,NA,NA,-0.201955540710782,2,3,2,NA,NA,NA,NA,NA,NA,0.580775960898881,3,3,3,3,3,NA,NA,NA,NA,NA,NA,0.201894658561857,3,1,4,4,4
"00152-0002-0002-0029",-0.673340148092401,3,2,2,2,2,2,-0.0196403952345125,3,3,2,2,3,3,0.199253504854407,3,3,3,0.407754629074501,3,3,3,-0.397360251598091,2,2,2,3,3,0.580775960898881,3,3,3,3,3,-0.0733926710687123,2,3,2,2,3,-0.584113724471133,2,2,2,2,2
"00152-0005-0001-0001",-0.825118449181821,2,2,2,2,2,2,-0.738198857530861,2,2,2,2,2,2,-0.0774978699633682,3,3,2,-0.624960511436945,2,2,2,-0.601046338335395,2,2,2,3,2,-0.6998043277913,1,2,2,2,2,-0.380625596367436,2,2,2,2,2,-1.52759909668946,1,1,1,1,1
"00152-0005-0001-0003",0.549448376784194,3,3,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,0.261689120376867,3,4,1,NA,NA,NA,NA,0.272416208867303,3,3,3,3,3,NA,NA,NA,NA,NA,NA,-0.0907744722968395,3,2,3,2,2,NA,NA,NA,NA,NA,NA
"00152-0005-0001-0004",-0.414488980357856,2,3,2,3,2,2,-0.4180351405212,2,1,2,3,3,2,-0.553645581246117,3,2,2,-1.6026139971396,1,1,1,-0.140327644118524,2,2,3,3,3,-1.41106854101579,1,1,1,2,1,-0.169820634813195,1,2,3,3,2,-1.44144793541961,NA,1,1,1,1
"00152-0005-0001-0005",-2.05210487379039,1,1,1,1,1,1,-2.08172567444038,1,1,1,1,1,1,-1.08442010223144,2,2,1,-1.6026139971396,1,1,1,-1.91741951870438,1,1,1,1,1,-1.69756034126817,1,1,1,1,1,-0.380625596367436,2,2,2,2,2,-1.52759909668946,1,1,1,1,1
"00152-0005-0001-0006",-1.54909564734096,2,1,1,2,1,1,-0.883198359808574,2,3,2,1,2,2,-0.848178210081668,2,2,2,-0.201955540710782,2,3,2,-0.424547639242995,2,2,2,4,2,-0.077602565945964,2,3,2,2,3,-1.31630817300646,1,1,1,1,1,-0.584113724471133,2,2,2,2,2
"00152-0005-0001-0007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00152-0005-0001-0008",-1.05549056941403,2,1,1,2,3,2,-2.08172567444038,1,1,1,1,1,1,-1.2534178441915,3,1,1,-0.201955540710782,2,3,2,-0.949279640295246,2,3,1,1,2,-1.69756034126817,1,1,1,1,1,-1.04751730564561,1,1,1,1,2,-1.35522073563086,2,1,1,1,1
"00152-0005-0001-0010",-0.61228171313842,2,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,-0.848178210081668,2,2,2,NA,NA,NA,NA,0.0737042900884769,2,3,3,3,3,NA,NA,NA,NA,NA,NA,-0.380625596367436,2,2,2,2,2,NA,NA,NA,NA,NA,NA
"00152-0005-0001-0011",0.266244004000176,3,3,NA,NA,3,3,0.0685255960556653,3,2,3,2,3,3,1.01459026274053,4,4,3,-0.112170507722328,3,3,1,1.511153808915,4,4,4,4,4,0.686813376131116,3,2,4,3,3,0.687053604439021,3,3,4,3,4,0.618722925169634,3,4,3,3,4
"00152-0005-0001-0012",-0.825118449181821,2,2,2,2,2,2,-0.738198857530861,2,2,2,2,2,2,-0.553645581246117,3,2,2,-0.624960511436945,2,2,2,-0.201123057197468,3,1,3,3,3,-0.496325101745625,2,2,2,2,2,-0.380625596367436,2,2,2,2,2,-0.584113724471133,2,2,2,2,2
"00152-0005-0001-0013",-0.657415468964153,2,2,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,-0.848178210081668,2,2,2,NA,NA,NA,NA,-0.177200400338331,2,2,3,4,2,NA,NA,NA,NA,NA,NA,-0.290357607752079,3,2,2,2,2,NA,NA,NA,NA,NA,NA
"00152-0005-0001-0016",0.316895221729886,3,3,3,3,3,3,-0.198512711627673,3,3,2,2,3,2,-0.365004241896417,3,3,1,-0.624960511436945,2,2,2,0.272416208867303,3,3,3,3,3,0.365460485006521,3,2,3,3,3,-0.380625596367436,2,2,2,2,2,0.0604332609930098,3,4,2,3,2
"00152-0005-0001-0017",-0.3749040896099,3,3,2,2,3,2,0.0283779021185683,3,3,3,2,3,2,0.199253504854407,3,3,3,-0.0014335159512155,2,3,3,-0.140327644118524,2,2,3,3,3,0.233561773704754,2,2,3,2,4,-0.408790891251853,3,3,2,1,1,-0.531429246823177,3,3,2,1,1
"00152-0005-0001-0018",-0.825118449181821,2,2,2,2,2,2,-0.973564538343131,1,2,2,2,2,2,-0.328863099905878,3,2,3,-0.0014335159512155,2,3,3,0.0447800500879307,3,2,3,3,3,-0.508306158236267,2,1,2,4,1,NA,NA,NA,NA,NA,NA,0.247708846763957,3,3,4,3,2
"00152-0005-0001-0019",-0.45474686682636,2,2,2,2,3,3,-0.551564620656734,2,2,2,2,3,2,-0.0774978699633682,3,3,2,-0.0014335159512155,2,3,3,-0.387091994236502,2,3,2,3,2,-0.496325101745625,2,2,2,2,2,0.317080326613267,3,3,3,3,3,0.205761128204731,3,3,3,3,3
"00152-0005-0001-0020",1.6159765663441,4,4,4,4,4,4,-1.61600920447595,1,2,1,1,1,2,0.788088132591057,4,4,2,-0.702401559964424,2,1,4,0.75423127110724,4,3,4,3,3,-1.69756034126817,1,1,1,1,1,-0.289495451601593,3,3,1,4,1,1.22882602627942,4,4,4,4,4
"00152-0005-0001-0021",0.154667951486971,3,2,3,3,3,3,0.136647288880919,3,2,3,3,2,3,-0.553645581246117,3,2,2,-0.0014335159512155,2,3,3,-0.157626626498171,3,2,3,3,2,0.580775960898881,3,3,3,3,3,-0.0221665844873753,2,3,3,2,2,0.205761128204731,3,3,3,3,3
"00152-0005-0001-0022",-0.45474686682636,2,2,2,2,3,3,-0.738198857530861,2,2,2,2,2,2,-0.439421217306059,2,3,2,0.141034122678427,3,3,2,-0.54982369614764,2,2,2,2,3,-1.69756034126817,1,1,1,1,1,-0.290357607752079,3,2,2,2,2,0.205761128204731,3,3,3,3,3
"00152-0005-0001-0023",0.0490840459219945,3,3,3,2,3,3,-0.551564620656734,2,2,2,2,3,2,-0.0774978699633682,3,3,2,0.407754629074501,3,3,3,-1.6706841864827,1,1,1,2,1,-1.41106854101579,1,1,1,2,1,-0.509768061332522,2,2,2,1,2,0.205761128204731,3,3,3,3,3
"00152-0005-0001-0024",0.316895221729886,3,3,3,3,3,3,0.495913076204877,3,3,3,3,3,3,-0.553645581246117,3,2,2,-0.624960511436945,2,2,2,-0.206281376518172,3,3,2,3,2,0.580775960898881,3,3,3,3,3,0.317080326613267,3,3,3,3,3,0.0315904007503836,3,3,3,3,2
"00152-0005-0001-0025",0.0866410310598489,2,3,2,3,4,3,-0.0819158833247247,3,2,2,3,2,3,0.688657674540425,3,4,3,0.407754629074501,3,3,3,0.0897495538633082,2,2,3,3,4,-0.0930951612114424,2,2,2,3,3,0.276832604127245,3,2,3,4,3,0.186644330263291,4,3,2,2,4
"00152-0005-0001-0026",NA,NA,NA,NA,NA,NA,NA,-0.579970071535492,3,1,2,3,2,1,NA,NA,NA,NA,-1.6026139971396,1,1,1,NA,NA,NA,NA,NA,NA,-0.930727248671809,3,2,1,1,1,NA,NA,NA,NA,NA,NA,-1.23173500106312,1,1,2,1,1
"00152-0005-0001-0027",-2.05210487379039,1,1,1,1,1,1,-0.738198857530861,2,2,2,2,2,2,-0.439421217306059,2,3,2,-0.624960511436945,2,2,2,-1.56750614817408,1,2,1,1,1,-0.6998043277913,1,2,2,2,2,-0.380625596367436,2,2,2,2,2,-0.584113724471133,2,2,2,2,2
"00152-0005-0001-0028",-0.232242433960227,2,2,3,2,3,3,0.0989296100588623,2,2,3,3,3,3,-0.848178210081668,2,2,2,-1.10526932981613,1,2,1,-0.754875266066217,2,2,2,2,2,-0.6998043277913,1,2,2,2,2,-0.184059188690169,3,2,2,3,2,-0.584113724471133,2,2,2,2,2
"00152-0005-0001-0029",-0.444195571711898,2,3,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,-0.848178210081668,2,2,2,NA,NA,NA,NA,0.272416208867303,3,3,3,3,3,NA,NA,NA,NA,NA,NA,-0.0271003934128102,3,3,2,3,2,NA,NA,NA,NA,NA,NA
"00152-0005-0001-0030",0.316895221729886,3,3,3,3,3,3,0.495913076204877,3,3,3,3,3,3,-0.0774978699633682,3,3,2,0.407754629074501,3,3,3,0.0737042900884769,2,3,3,3,3,0.381805687058413,2,3,3,3,3,-0.125723688655797,2,2,2,3,3,0.493305205546882,3,3,3,4,4
"00152-0005-0001-0032",-0.673340148092401,3,2,2,2,2,2,-0.738198857530861,2,2,2,2,2,2,-0.0774978699633682,3,3,2,0.141034122678427,3,3,2,-0.754875266066217,2,2,2,2,2,-0.496325101745625,2,2,2,2,2,-0.380625596367436,2,2,2,2,2,-0.584113724471133,2,2,2,2,2
"00152-0007-0002-0001",0.316895221729886,3,3,3,3,3,3,0.495913076204877,3,3,3,3,3,3,0.199253504854407,3,3,3,-0.624960511436945,2,2,2,0.272416208867303,3,3,3,3,3,0.107214196647547,2,3,2,3,3,0.343713969425727,2,2,3,4,4,0.728855295962616,3,3,4,4,4
"00152-0007-0002-0002",0.499057127328256,NA,3,3,3,4,3,1.06717354140443,4,2,4,4,3,3,1.33147011590942,4,4,4,1.55676885328632,4,4,4,0.447820011995915,3,3,3,4,3,1.03247896497271,3,4,3,3,4,-0.229220772596593,3,2,2,4,1,1.22882602627942,4,4,4,4,4
"00152-0007-0002-0003",-0.269565777344984,2,3,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,-0.795626581726312,3,2,1,NA,NA,NA,NA,-1.03450654390234,2,1,2,3,1,NA,NA,NA,NA,NA,NA,0.133252963827078,1,3,3,3,3,NA,NA,NA,NA,NA,NA
"00152-0007-0002-0004",-0.825118449181821,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,-0.439421217306059,2,3,2,NA,NA,NA,NA,-1.16160837562609,1,1,2,2,2,NA,NA,NA,NA,NA,NA,0.0766286750555342,2,4,4,1,1,NA,NA,NA,NA,NA,NA
"00152-0007-0002-0005",-0.421687870917698,2,2,3,2,3,2,-0.154124700815723,2,3,3,2,2,3,-1.8348982053446,1,1,1,-1.6026139971396,1,1,1,-0.838988410648711,2,2,1,2,3,-0.963474635186877,1,2,1,2,2,0.195641683042914,2,3,3,4,2,0.205761128204731,3,3,3,3,3
