"S_ID","SAF_SELFCON","SQA06A","SQA06B","SQA06C","SQA06D","SQA06E","SQA06F","SBF_SELFCON","SQB01A","SQB01B","SQB01C","SQB01D","SQB01E","SQB01F","SAF_PINT","SQA14A","SQA14B","SQA14C","SBF_PINT","SQB03A","SQB03B","SQB03C","SAF_GENSELFEFF","SQA15A","SQA15B","SQA15C","SQA15D","SQA15E","SBF_GENSELFEFF","SQB02A","SQB02B","SQB02C","SQB02D","SQB02E","SAF_EFFICACY_MATCHED","SQA16F2","SQA16G2","SQA16H2","SQA16I2","SQA16J2","SBF_EFFICACY_MATCHED","SQB07CA","SQB07CB","SQB07CC","SQB07CD","SQB07CE"
"00826-0071-0003-0011",NA,NA,NA,NA,NA,NA,NA,0.913648762853905,3,3,3,3,4,4,NA,NA,NA,NA,1.16412838231451,3,4,4,NA,NA,NA,NA,NA,NA,1.01057541590753,3,4,3,4,3,NA,NA,NA,NA,NA,NA,0.876206770472265,3,4,4,3,4
"00826-0071-0003-0013",0.153234153355436,2,3,3,3,3,3,0.642492421793061,2,3,3,3,4,4,-0.0774978699633682,3,3,2,0.141034122678427,3,3,2,0.412806236923589,4,2,3,4,3,0.580775960898881,3,3,3,3,3,-1.31630817300646,1,1,1,1,1,0.240098465964008,2,4,3,2,3
"00826-0071-0003-0014",0.130201044544325,3,3,3,3,2,3,0.786023049545867,3,3,4,3,3,3,0.199253504854407,3,3,3,0.407754629074501,3,3,3,0.447820011995915,3,3,3,4,3,-0.121375177577614,3,1,2,3,3,-1.31630817300646,1,1,1,1,1,-0.209592889228451,1,3,3,1,3
"00826-0071-0003-0015",NA,NA,NA,NA,NA,NA,NA,0.133445893190941,4,3,3,2,2,2,NA,NA,NA,NA,0.141034122678427,3,3,2,NA,NA,NA,NA,NA,NA,-0.308227121587011,2,2,2,3,2,NA,NA,NA,NA,NA,NA,0.292557434961737,3,3,3,2,4
"00826-0071-0003-0016",-0.320929264082401,2,3,2,2,3,3,-0.584703868512162,2,3,2,2,2,2,-0.365004241896417,3,3,1,0.141034122678427,3,3,2,-0.550313759412937,3,2,2,2,2,-0.780108689389435,2,2,1,2,2,-0.0733926710687123,2,3,2,2,3,-0.0978884594516135,2,3,3,1,3
"00826-0071-0003-0017",-0.289846039701753,2,3,3,2,3,2,-0.167003773166161,2,3,3,2,3,2,0.688657674540425,3,4,3,0.407754629074501,3,3,3,-0.211192651840884,3,2,2,3,3,-0.708209730229706,2,1,2,2,2,-0.355435198286515,NA,2,2,NA,NA,0.111271837593848,1,3,4,2,3
"00826-0072-0004-0001",0.316895221729886,3,3,3,3,3,3,0.213740187530798,3,3,3,2,3,3,0.337277542859554,4,3,2,1.2867011071775,4,4,3,0.272416208867303,3,3,3,3,3,1.80815764288501,4,4,4,4,4,-0.232540130407773,2,2,4,1,1,0.0959006379933739,2,3,3,3,3
"00826-0072-0004-0002",0.351865098203541,3,3,4,3,3,2,0.682285586537784,3,4,3,3,3,3,-0.795626581726312,3,2,1,-0.834303577306735,2,2,1,-0.0547071724153097,3,3,2,4,2,0.580775960898881,3,3,3,3,3,0.160256809476688,3,3,4,1,2,0.762723984320033,3,4,4,2,4
"00826-0072-0004-0003",-0.478002242598748,2,3,2,2,2,3,-0.219358126743737,2,3,2,2,3,3,-0.0774978699633682,3,3,2,0.141034122678427,3,3,2,-0.838988410648711,2,2,1,2,3,-0.708209730229706,2,1,2,2,2,-0.509768061332522,2,2,2,1,2,-0.166205839634856,2,3,3,2,2
"00826-0072-0004-0004",0.0888179034574471,3,3,3,3,3,2,0.495913076204877,3,3,3,3,3,3,0.199253504854407,3,3,3,0.141034122678427,3,3,2,0.922165538916178,4,3,4,4,3,0.60800549662352,3,2,3,3,4,0.277707986103192,2,3,3,2,4,0.876206770472265,3,4,4,3,4
"00826-0072-0004-0005",-0.518760907326286,2,3,2,2,3,2,0.495913076204877,3,3,3,3,3,3,-0.0774978699633682,3,3,2,0.141034122678427,3,3,2,-0.972980874390056,2,1,2,2,2,-0.496325101745625,2,2,2,2,2,0.576117239431732,3,3,4,2,4,-0.0384812591152306,2,2,3,2,4
"00826-0072-0004-0006",0.130201044544325,3,3,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,-0.0774978699633682,3,3,2,NA,NA,NA,NA,-0.479657683872053,2,2,3,2,2,NA,NA,NA,NA,NA,NA,0.212225907237942,3,3,3,2,3,NA,NA,NA,NA,NA,NA
"00826-0072-0004-0007",0.785560552175825,3,3,4,3,3,4,1.88016172456212,4,4,4,4,4,4,0.788088132591057,4,4,2,1.2867011071775,4,4,3,0.476378417402474,4,4,3,3,2,1.07421225338421,3,3,4,4,3,0.689348811590702,4,4,4,2,3,0.908436653538627,4,4,4,2,4
"00826-0072-0004-0008",0.13803949564522,2,3,3,2,3,4,0.642492421793061,2,3,3,3,4,4,1.33147011590942,4,4,4,0.141034122678427,3,3,2,0.867212488633139,4,3,3,4,4,0.173794796020159,2,2,3,3,3,0.263233787545522,3,2,4,2,3,1.22882602627942,4,4,4,4,4
"00826-0072-0004-0009",0.89020526293696,3,4,4,3,4,3,1.28268366849696,3,4,4,3,4,4,1.33147011590942,4,4,4,0.407754629074501,3,3,3,1.511153808915,4,4,4,4,4,1.26301478664779,4,4,4,3,3,1.23649259180142,4,4,4,4,4,1.22882602627942,4,4,4,4,4
"00826-0072-0004-0010",-0.3749040896099,3,3,2,2,3,2,0.213740187530798,3,3,3,2,3,3,0.199253504854407,3,3,3,0.407754629074501,3,3,3,-0.206281376518172,3,3,2,3,2,-0.285358134557536,3,2,2,2,2,-0.380625596367436,2,2,2,2,2,0.222094365745872,2,3,4,2,3
"00826-0072-0004-0011",-0.621683844543083,2,4,1,2,3,2,-1.21659246950433,1,2,2,1,2,2,0.688657674540425,3,4,3,-1.6026139971396,1,1,1,0.669944482065575,3,3,3,4,4,-0.060245418504771,1,3,3,3,2,0.217377251437469,2,3,4,1,3,0.0110417396364637,3,3,3,1,3
